"Dish","Quantity","Calories (kcal)","Protein (g)","Carbohydrates (g)","Fats (g)","Fiber (g)","Key Nutrients","MealType"
"Mini Veggie Wraps","2 wraps","150","6","20","7","4","Fiber, Vitamins","Snack"
"Fruit Kabobs","5 pieces","120","1","30","0","5","Vitamins, Carbohydrates","Snack"
"Edamame with Lime and Chili","1 cup","120","11","10","5","8","Protein, Fiber","Snack"
"Chia and Berry Jam","1/4 cup","100","2","20","2","6","Fiber, Vitamins","Snack"
"Avocado and Tuna Salad","1 cup","200","15","5","10","5","Protein, Healthy Fats","Snack"
"Homemade Trail Mix","1/4 cup","200","5","15","15","4","Protein, Healthy Fats","Snack"
"Cucumber and Turkey Roll-Ups","4 roll-ups","150","10","2","8","1","Protein, Healthy Fats","Snack"
"Almond Butter and Banana Slices","1 banana + 2 tbsp","180","6","25","14","4","Protein, Healthy Fats","Snack"
"Ricotta Cheese with Honey and Nuts","1/2 cup","200","10","15","8","2","Protein, Healthy Fats","Snack"
"Sweet Potato and Black Bean Taquitos","2 taquitos","200","6","30","7","5","Fiber, Protein","Snack"
"Stuffed Mini Bell Peppers","4 peppers","180","8","20","6","4","Protein, Fiber","Snack"
"Greek Yogurt Smoothie","1 glass","180","10","25","4","5","Protein, Vitamins","Snack"
"Pear and Almond Slices","1 pear + 2 tbsp","150","4","25","10","3","Healthy Fats, Fiber","Snack"
"Carrot and Celery Sticks with Yogurt Dip","1 cup + 1/4 cup","150","4","15","6","5","Protein, Fiber","Snack"
"Cheese-Stuffed Mushrooms","4 mushrooms","200","10","5","15","2","Protein, Healthy Fats","Snack"
"Coconut Energy Balls","3 balls","150","3","20","8","4","Healthy Fats, Fiber","Snack"
"Spicy Roasted Chickpeas","1 cup","180","6","30","2","6","Protein, Fiber","Snack"
"Berry and Yogurt Smoothie Bowl","1 bowl","200","12","25","5","7","Protein, Vitamins","Snack"
"Mini Quinoa Patties","3 patties","180","8","20","7","5","Protein, Fiber","Snack"
"Apple and Walnut Salad","1 cup","150","4","20","8","4","Fiber, Healthy Fats","Snack"
"Spinach and Feta Cheese Muffins","2 muffins","200","10","15","12","3","Protein, Healthy Fats","Snack"
"Turkey Meatballs","4 meatballs","200","18","4","10","0","Protein","Snack"
"Strawberry and Spinach Salad","1 cup","150","3","20","5","3","Vitamins, Fiber","Snack"
